,date,习近平,李克强,栗战书,汪洋,王沪宁,赵乐际,韩正
0,2015-12-24,4,10,0,1,0,0,0
1,2015-12-25,9,13,0,2,0,0,0
2,2015-12-26,23,13,0,2,0,0,0
3,2015-12-27,27,13,0,2,0,0,0
4,2015-12-28,28,13,0,2,0,0,0
5,2015-12-31,54,17,0,2,0,0,0
6,2016-01-01,76,17,0,2,0,0,0
7,2016-01-02,80,17,0,2,0,0,0
8,2016-01-03,93,17,0,2,0,0,0
9,2016-01-04,100,18,0,2,0,0,0
10,2016-01-05,106,18,0,2,0,0,0
11,2016-01-06,133,30,1,2,1,0,0
12,2016-01-08,147,36,2,2,1,1,0
13,2016-01-09,149,38,2,2,1,1,0
14,2016-01-12,161,39,2,2,1,1,0
15,2016-01-13,169,42,2,3,1,1,0
16,2016-01-14,170,42,2,3,1,1,0
17,2016-01-15,182,48,2,4,2,2,0
18,2016-01-17,183,48,2,4,2,2,0
19,2016-01-18,218,51,2,4,2,2,0
20,2016-01-19,231,55,3,4,3,2,0
21,2016-01-20,268,55,7,4,7,2,0
22,2016-01-21,328,64,13,5,13,3,0
23,2016-01-22,376,72,15,6,15,3,0
24,2016-01-23,398,72,17,6,17,3,0
25,2016-01-24,414,74,20,6,20,3,0
26,2016-01-25,415,81,20,6,20,3,0
27,2016-01-27,422,84,20,6,20,3,0
28,2016-01-29,426,84,20,6,20,3,0
29,2016-01-30,429,84,20,7,20,3,1
30,2016-01-31,431,84,20,7,20,3,1
31,2016-02-01,445,86,20,7,20,3,1
32,2016-02-02,449,86,20,7,20,3,1
33,2016-02-03,449,100,20,7,20,3,1
34,2016-02-04,451,103,20,7,20,3,1
35,2016-02-05,457,113,20,7,20,3,1
36,2016-02-06,471,120,20,7,20,3,1
37,2016-02-07,472,120,20,7,20,3,1
38,2016-02-08,472,120,20,7,20,3,1
39,2016-02-09,474,120,20,7,20,3,1
40,2016-02-10,478,120,20,7,20,3,1
41,2016-02-11,480,120,20,7,20,3,1
42,2016-02-12,482,120,20,7,20,3,1
43,2016-02-13,487,121,20,7,20,3,1
44,2016-02-14,493,124,20,7,20,3,1
45,2016-02-15,499,124,20,7,20,3,1
46,2016-02-16,500,124,20,7,20,3,1
47,2016-02-17,501,127,20,7,20,3,1
48,2016-02-18,506,127,20,7,20,3,1
49,2016-02-19,510,128,20,7,20,3,1
50,2016-02-20,515,128,20,7,20,3,1
51,2016-02-21,526,128,20,7,20,3,1
52,2016-02-22,536,128,20,7,20,3,1
53,2016-02-24,544,133,20,7,20,3,1
54,2016-02-26,549,134,20,7,20,3,1
55,2016-02-27,552,141,20,7,20,3,1
56,2016-03-02,561,141,20,7,20,3,1
57,2016-03-04,580,145,20,7,20,3,1
58,2016-03-05,603,157,21,8,21,4,3
59,2016-03-09,612,162,21,8,21,4,3
60,2016-03-11,620,163,21,8,21,4,3
61,2016-03-12,621,163,21,8,21,4,3
62,2016-03-13,633,164,21,8,21,4,3
